연번,미디어타입,제목,장소명,장소타입,장소설명,영업시간,브레이크타임,휴무일,주소,위도,경도,전화번호,최종작성일
11,artist,2PM,히메시야,restaurant,닉쿤의 싸인이 있는 홍대 일식당,매일 11시 40분 - 21시 30분,15시 - 16시 40분,연중무휴,서울특별시 마포구 독막로15길 3-18,37.548639,126.921276,070-8245-4562,
12,artist,2PM,김사또상수본점,restaurant,준케이의 싸인이 있는 떡볶이집,목-화 11시 30분 - 22시,정보없음,수요일,서울특별시 마포구 서강동 와우산로 39,37.547983,126.922831,02-325-6362,
13,artist,2PM,도쿄등심 롯데캐슬잠실점,restaurant,닉쿤의 싸인 플레이트가 있는 소고기 전문점,매일 11시 30분 - 22시,15시 - 17시,연중무휴,서울특별시 송파구 올림픽로 269,37.5142852,127.100694,02-2146-2266,
14,artist,2PM,카페후암동,cafe,택연이 방문한 후암동 커피 맛집,수-월 09시 - 22시 30분,정보없음,화요일,서울특별시 용산구 후암동 후암로 33,37.548701,126.97755,0507-1311-8232,
15,artist,2PM,감고당길,playground,택연이 인터랙티브 무비 안녕을 촬영한 곳,매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 율곡로3길,37.577861,126.982358,02-2148-5066,
16,artist,2PM,호박식당 약수본점,restaurant,멤버들이 함께 방문한 소갈비 맛집,매일 10시 - 23시,정보없음,연중무휴,서울특별시 중구 다산로 154,37.557271,127.01231,02-2233-7905,
17,movie,Crazy Romance,성미골,restaurant,공효진의 통쾌한 복수신을 찍은 고기집,"월,수-목 16분 - 23시 30분, 금- 13시 - 23시 30분",정보없음,화요일,서울 마포구 월드컵로 137 102호,37.5590729,126.9049163,02-3144-5757,
18,movie,Crazy Romance,월스트리트,restaurant,영화 가장 보통의 연애에서 회식 장면을 찍은 곳,평일 10시 - (익일) 01시,정보없음,주말,서울특별시 강남구 테헤란로83길 13,37.5082595,127.0552221,02-501-0522,
19,movie,Crazy Romance,마포진짜원조최대포본점,restaurant,김래원과 공효진이 소주잔을 기울인 돼지고기 구이집,매일 11시 - 23시,정보없음,연중무휴,서울특별시 마포구 마포대로 112-4,37.544649,126.951868,0507-1333-9293,
20,movie,Crazy Romance,마포나루 아크로점,restaurant,영화 가장 보통의 연애에서 회식장소로 나온 집,매일 10시 - 22시,평일만 14시 30분 - 16시 30분,"일요일, 공휴일",서울특별시 마포구 마포대로 68 마포아크로타워 지하 1층,37.5412579,126.9467487,02-712-6822,
21,movie,Crazy Romance,ZIO커피 문정점,cafe,김래원의 취중 고백신을 찍은 문정동 카페,매일 00시 - 24시,정보없음,연중무휴,서울특별시 송파구 새말로 97 문정동 카센터,37.4827568,127.1224215,02-404-8558,
22,movie,Crazy Romance,코코로,restaurant,공효진과 김래원의 취중진담신을 찍은 술집,"월-수 18시 - 24시, 목-토 18시 - (익일) 02시, 토 17시30분 - (익일) 02시",정보없음,일요일,서울특별시 송파구 올림픽로32길 41,37.5694964,126.9130871,0507-1413-0518,
23,movie,Crazy Romance,연탄불,restaurant,김래원의 고백신을 찍은 닭갈비 집,월-토 11시 - 22시,16시 - 17시,일요일,서울특별시 영등포구 양산로17길 17,37.5259645,126.8914759,02-2678-8892,
24,movie,Crazy Romance,이목구비,restaurant,공효진과 김래원이 술게임을 즐긴 수제 맥주 펍,"평일 15시 - (익일) 01시, 토 15시 - (익일) 01시, 일,공휴일 15시 - 24시",정보없음,연중무휴,서울특별시 영등포구 영신로32길 19 ,37.519097,126.903283,02-2679-5520,
25,artist,A.C.E,롯데시네마 브로드웨이,playground,찬의 브이로그 촬영 때 방문한 영화관,영화별 시간 상이,정보없음,연중무휴,서울특별시 강남구 도산대로 118,37.516574,127.021744,1544-8855,
26,artist,A.C.E,김록훈 베이커리,cafe,준이 가장 좋아하는 신사의 빵집,월-토 08시 - 23시,정보없음,일요일,서울특별시 강남구 도산대로8길 23,37.51539,127.022599,02-581-7795,
27,artist,A.C.E,퍼니랜드,playground,Candy 안무 커버 영상을 찍은 날 갔던 오락실,"평일 10시 - 22시, 주말 11시 - 22시",정보없음,연중무휴,서울특별시 마포구 어울마당로 46-1,37.549144,126.920989,02-322-9074,
28,artist,A.C.E,수노래연습장 럭셔리 홍대점,playground,Candy 안무 커버 영상을 찍은 날 갔던 노래방,매일 00시 - 24시,정보없음,연중무휴,서울특별시 마포구 어울마당로 67,37.551119,126.921113,02-322-3111,
29,artist,AB6IX,교토가츠규 삼성오크우드점,restaurant,이대휘가 추천한 규카츠 맛집,매일 11시 30분 - 21시,14시 - 17시 30분,연중무휴,서울특별시 강남구 봉은사로 524,37.512502,127.058796,02-3466-8050,
30,artist,AB6IX,유가네닭갈비 강남역점,restaurant,이대휘가 방문한 닭갈비집,매일 11시 - 22시,정보없음,연중무휴,서울특별시 강남구 역삼동 강남대로 438 스타플렉스 503호,37.501512,127.026417,02-534-9595,
31,artist,AB6IX,남녀공학,restaurant,임영민의 생일영상에 나왔던 백반집,평일 11시 - 21시 30분 ,정보없음,주말,서울특별시 서초구 방배동 서초대로27길 56,37.490494,126.993637,02-594-4885,
32,artist,AB6IX,서부감자국,restaurant,박우진이 방문한 감자탕 맛집,매일 11시 - 23시 50분,정보없음,연중무휴,서울특별시 은평구 서오릉로 8,37.6022197,126.9269244,02-356-4555,
33,artist,AOA,칙피스,restaurant,설현 인스타그램에 업로드 된 곳,매일 11시 30분 - 20시 30분,평일만 15시 - 16시,연중무휴,서울특별시 강남구 강남대로 152길 69,37.519088,127.024705,02-6956-6780,
34,artist,AOA,에이커스,cafe,설현 인스타그램에 업로드 된 곳,"월-토 11시 - 22시, 일 12시 - 22시",정보없음,연중무휴,서울특별시 강남구 도산대로 17길 30,37.520672,127.024313,02-545-7588,
35,artist,AOA,대막,restaurant,설현 인스타그램에 업로드 된 곳,매일 12시 - 21시,15시 - 17시 30분,연중무휴,"서울특별시 강남구 압구정로 46길 75,1층",37.523801,127.036753,02-516-5056,
36,artist,AOA,란수사,restaurant,혜정이 다녀간 일식집,"평일 11시 30분 - 22시, 주말, 공휴일 17시 - 22시",정보없음,연중무휴,서울특별시 강남구 언주로93길 14-3,37.503898,127.040588,02-567-2552,
37,artist,AOA,무악동 봉수대,playground,설현 인스타그램에 업로드 된 곳,매일 00시 - 24시,정보없음,연중무휴,서울특별시 서대문구 신촌동 산1,37.577062,126.947171,02-330-1301,
38,artist,AOA,은행골 강남역점,restaurant,설현이 다녀간 초밥집,월-토 11시 - 22시 30분,정보없음,일요일,서울특별시 서초구 서초대로75길 34 3층,37.500493,127.025214,02-592-4988,
39,artist,AOA,선비네,restaurant,더 짠내투어'에서 찬미가 소개한 맛집,매일 10시 30분 - 23시,정보없음,연중무휴,서울특별시 영등포구 영중로20길 4,37.521087,126.905987,,
40,artist,AOA,화로 이태원점,restaurant,찬미가 다녀간 이베리코 맛집,"월,목 17시 - (익일) 01시, 금 17시 - (익일) 02시, 토 16시 - (익일) 02시, 일 16시 - (익일) 01시",정보없음,"화요일, 수요일",서울특별시 용산구 이태원로27가길 51,37.534759,126.992357,02-794-3335,
41,movie,Architecture,장미원 골목시장,playground,이제훈의 엄마가 운영했던 순대국밥집이 있는 곳,매일 00시 - 24시,정보없음,연중무휴,서울특별시 강북구 삼양로 464,37.644902,127.014635,02-3778-4707,
42,movie,Architecture,경희대학교 문과대학,playground,수업을 마친 유연석과 수지가 대화하는 장소,매일 00시 - 24시,정보없음,연중무휴,서울특별시 동대문구 회기동 1,37.597182,127.054375,02-961-0221,
43,movie,Architecture,정릉,playground,이제훈과 수지가 처음 만난 곳,화-일 06시 - 18시 (시기별 상이),정보없음,월요일,서울특별시 성북구 아리랑로19길 116,37.602094,127.006128,02-914-5133,
44,movie,Architecture,스타벅스 한강진역R점,cafe,한가인이 집을 지어달라며 엄태웅을 찾아오는 곳,"평일 08시 - 20시, 주말 09시 - 21시 ",정보없음,연중무휴,서울특별시 용산구 이태원로 252,37.537123,127.001061,1522-3232,
45,movie,Architecture,종로종합복지관,playground,영화 속 정릉독서실로 나온 건물,매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 지봉로13길 82,37.577284,127.012413,02-741-4980,
46,movie,Architecture,서촌 한옥마을,playground,수지와 이제훈이 과제를 위해 살펴보던 마을,매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 통의동 28-1,37.578671,126.973096,02-2148-1114,
47,artist,ATEEZ,조이전농프라자,playground,ATEEZ가 단체줄넘기를 했던 풋살장,매일 00시 - 24시,정보없음,연중무휴,서울특별시 동대문구 서울시립대로 36 옥상,37.574548,127.04691,070-5111-8603,
48,artist,ATEEZ,홍일품간장게장,restaurant,ATEEZ 산이 방문했던 간장게장 맛집,화-일 11시 - 22시,정보없음,월요일,서울특별시 마포구 독막로 47-1,37.548045,126.918695,0504-1845-1831,
49,artist,ATEEZ,거북이집,restaurant,ATEEZ 산이 방문했던 한식 맛집,매일 11시 30분 - 21시 30분 ,정보없음,연중무휴,서울특별시 서대문구 연희맛로 12-1,37.56624,126.929337,02-322-8018,
50,artist,ATEEZ,삼청동 코리아게스트 하우스,playground,ATEEZ 종호가 유튜브를 촬영했던 곳,"매일 입실 14시, 퇴실 11시",정보없음,연중무휴,서울특별시 종로구 삼청로4길 12-1,37.581949,126.98208,,
51,artist,B1A4,볼트 스테이크하우스,restaurant,수요미식회에서 산들이 극찬한 스테이크 레스토랑,매일 12시 - 22시,15시 - 17시,명절(당일),서울특별시 강남구 압구정로72길 22 2층 ,37.525014,127.045014,02-544-9235,
52,artist,B1A4,청담동마녀김밥 청담본점,restaurant,B1A4가 방문한 연예인 간식으로 유명한 김밥집,매일 08시 - 21시,정보없음,연중무휴,서울특별시 강남구 압구정로79길 32,37.525182,127.049746,02-547-1114,
53,artist,B1A4,곱 마포점,restaurant,B1A4 진영이 팬들에게 추천한 곱창집,"월-토 16시 - 23시 30분, 일 15시 - 23시",정보없음,연중무휴,서울특별시 마포구 도화길 31-1,37.5410215,126.9493516,0507-1324-5201,
54,artist,B1A4,큐스닭강정,restaurant,아육대에서 B1A4가 팬들에게 역조공 했던 닭강정,매일 10시 - 20시 30분,정보없음,연중무휴,서울특별시 마포구 망원로8길 27,37.5562557,126.9062372,02-3143-5577,
55,artist,B1A4,경의선숲길공원,playground,연애가필요해 드라마에서 공찬이 나왔던 장소,매일 00시 - 24시 ,정보없음,연중무휴,서울특별시 마포구 연남동 연남로 80,37.5661595,126.919015,02-3153-6740,
56,artist,B1A4,담소,cafe,공찬이 게임 친구들과 빙수를 먹으러 간 카페,매일 14시 - 23시,정보없음,연중무휴,서울특별시 마포구 와우산로27길 26,37.554397,126.92704,02-3143-7008,
57,artist,B1A4,시골김치삼겹살,restaurant,공찬이 에스카 게임 경기 후에 뒷풀이 갔던 곳,매일 15시 - 23시 30분,정보없음,연중무휴,서울특별시 마포구 월드컵로 110 1층,37.558348,126.908318,02-333-6678,
58,artist,B1A4,광합성카페,cafe,쇼챔피언에서 산들이 맛있다고 한 분위기 맛집 카페,"매일 11시 - 22시, 일 11시 - 20시",정보없음,연중무휴,서울특별시 마포구 월드컵로19길 8,37.557065,126.908431,02-333-6933,
59,artist,B1A4,서울숲,playground,공찬이 공식 팬카페에 인증샷을 남겼던 공원,매일 00시 - 24시 ,정보없음,연중무휴,서울특별시 성동구 뚝섬로 273,37.544046,127.040414,02-460-2905,
60,movie,A Violent Prosecutor,잠수교,playground,이성민이 천식호흡기를 한강에 던져 버린 곳,매일 00시 - 24시,정보없음,연중무휴,서울특별시 서초구 반포동,37.514658,126.996412,02-2155-7626,
61,movie,A Violent Prosecutor,대청마루I,restaurant,극중 강동원이 삼겹살을 쏜 곳,매일 10시 - (익일) 01시,정보없음,연중무휴,서울특별시 중구 퇴계로44길 16,37.561193,126.997071,02-2285-2650,
62,movie,The Priests,동호대교,playground,영화 검은 사제들의 차량 추격씬 촬영지,매일 00시 - 24시,정보없음,연중무휴,서울특별시 성동구 옥수동,37.535804,127.02145,02-2204-7900,
63,movie,The Priests,천주교 서울대교구 주교좌명동대성당,playground,강동원이 김윤석의 부탁으로 성물을 가지러간 곳,"화-토 11시 - 20시, 일 10시 - 20시, 월 성직자,수도자만",정보없음,연중무휴,서울특별시 중구 명동길 74,37.5632772,126.986827,02-774-1784,
64,movie,The Priests,대한성공회 서울주교좌성당,playground,영화 검은 사제들에서 맨 처음에 등장하는 곳,평일 11시 - 16시,정보없음,주말,서울특별시 중구 세종대로21길 15,37.567132,126.976048,02-730-6611,
65,artist,B1A4,수색역,playground,바나재팬에서 공찬이 교복을 입고 찍은 곳,매일 00시 - 24시 ,정보없음,연중무휴,서울특별시 은평구 수색로 261-1,37.580851,126.89568,1544-7788,
66,movie,Joint Security Area,서울과학기술대학교 다산관,playground,공동경비구역 JSA 촬영지이자 시대극 전문 촬영장,매일 00시 - 24시,정보없음,연중무휴,서울특별시 노원구 공릉로 232,37.63239,127.078024,02-970-6114,
67,movie,Confidential Assignment,인터컨티넨탈 서울 코엑스,playground,공조 첫 장면에서 회의가 열린 곳,"매일 입실 15시, 퇴실 11시",정보없음,연중무휴,서울특별시 강남구 봉은사로 524,37.512502,127.058796,02-3452-2500,
68,movie,Confidential Assignment,이태원앤틱가구거리,playground,공조에서 도심 추격 액션장면을 촬영한 거리,매일 00시 - 24시,정보없음,연중무휴,서울특별시 용산구 보광로 109-1,37.5316779,126.9927056,,
69,movie,Confidential Assignment,이태원세계음식거리,playground,공조에서 추격신을 촬영한 이태원의 먹자거리,매일 00시 - 24시,정보없음,연중무휴,서울특별시 용산구 이태원동 108-3,37.535005,126.993082,02-2199-8620,
70,movie,Confidential Assignment,낙산공원,playground,공조에서 유해진이 거짓말을 들키는 장면을 찍은 곳,매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 낙산길 41,37.580667,127.00746,02-743-7985,
71,movie,Masquerade,경복궁,playground,이병헌이 중전 한효주의 손을 잡고 탈출하는 장소,"수-월 09시 - 17시 (11월-2월), 수-월 09시 - 18시 (3-5월, 9-10월), 수-월 09시 - 18시 30분 (6-8월)",정보없음,화요일(공휴일인 경우 다음날 휴무),서울특별시 종로구 사직로 161,37.5806736,126.976952,02-3700-3900,
72,movie,Masquerade,종묘,playground,영화 <광해>의 시작 장면을 알리는 종묘,수-월 09시 - 18시 ,정보없음,화요일,서울특별시 종로구 훈정동 종로 157,37.575137,126.994175,02-765-0195,
73,movie,The Host,잠실대교,playground,괴물 영화 인트로 다음 씬으로 나온 장소,매일 00시 - 24시,정보없음,연중무휴,서울특별시 광진구 자양동 574-1,37.526749,127.0828,02-450-1114,
74,movie,The Host,여의도공원,playground,영화 괴물이 가장 많이 등장한 장소,매일 00시 - 24시,정보없음,연중무휴,서울특별시 영등포구 여의공원로 68,37.5281241,126.925754,02-761-4079,
75,movie,The Host,동작대교,playground,괴물이 나타나 강두네 가족과 사투를 벌이는 곳,매일 00시 - 24시,정보없음,연중무휴,서울특별시 용산구 이촌동 동작대교,37.51041,126.981893,02-2199-8580,
76,artist,BTOB,이끼롤까스 가로수길점,restaurant,비투비 민혁이 다녀간 돈가스 맛집,매일 11시 30분 - 21시 20분,토-월 16시 - 17시,연중무휴,서울특별시 강남구 강남대로156길 35,37.518901,127.021873,02-514-3347,
77,artist,BTOB,장독대김치찌개,restaurant,서은광이 11년째 단골인 김치찌개 리얼 맛집,매일 00시 - 24시,정보없음,연중무휴,서울특별시 강남구 도산대로102길 5 1층,37.5243798,127.053036,02-543-7754,
78,artist,BTOB,만,restaurant,서은광이 방문한 장어 요리 집,월-토 11시 30분 - 22시,15시 - 17시,일요일,서울특별시 강남구 신사동 636-23,37.5273127,127.0349333,02-514-4123,
79,artist,BTOB,갯벌의진주본점,restaurant,"BTOB 서은광, BTS 진이 함께 방문한 맛집",매일 16시 - (익일) 04시,정보없음,연중무휴,서울특별시 강남구 학동로2길 55,37.508091,127.023852,02-544-8892,
80,artist,BTOB,아날로그 테이블 연남,restaurant,육성재도 다녀간 홍대입구역 이탈리아 맛집,매일 11시 30분 - 22시,"월-목 15시 - 17시, 금-일 15시 - 16시 30분",연중무휴,서울특별시 마포구 월드컵북로2길 93,37.558719,126.924797,02-6397-0606,
81,artist,BTOB,용답역 인도교,playground,도깨비 드라마에서 육성재가 걸어간 육교 촬영지,매일 00시 - 24시,정보없음,연중무휴,서울특별시 성동구 살곶이길 159,37.562188,127.049238,02-2286-7265,
82,artist,BTOB,플럼프,cafe,큐브소속사에서 만든 특별한 카페,매일 10시 - 19시,정보없음,연중무휴,서울특별시 성동구 아차산로 83 1층,37.545658,127.053456,02-3409-0113,
83,artist,BTOB,성수찜닭,restaurant,큐브방송에서 비투비가 추천했던 찜닭 맛집,매일 10시 30분 - 23시,정보없음,연중무휴,서울특별시 성동구 아차산로7길 28,37.54775,127.055434,02-497-3663,
84,artist,BTOB,마호가니 여의도점,cafe,임현식이 EXID 하니와 만난 그 카페,"평일 07시 - 21시, 주말 10시 - 21시 ",정보없음,연중무휴,서울특별시 영등포구 여의대로 66 하이투자증권빌딩,37.524669,126.923773,02-785-8880,
85,artist,BTOB,코레아노스 키친 녹사평점,restaurant,브이앱 Ch+ 릴레이 방송에서 프니엘의 추천 맛집,매일 12시 - 22시,정보없음,연중무휴,서울특별시 용산구 녹사평대로40길 46,37.534382,126.988213,02-795-4427,
86,artist,BTOB,한복남 경복궁점,playground,피키캐스트 유튜브에서 비투비가 입은 한복 협찬점,매일 09시 - 19시,정보없음,연중무휴,서울특별시 종로구 사직로 133-5,37.5762,126.97329,,
87,artist,BTOB,경복궁,playground,비투비 육성재가 우결에서 한복을 입고 간 곳,"수-월 09시 - 17시 (11월-2월), 수-월 09시 - 18시 (3-5월, 9-10월), 수-월 09시 - 18시 30분 (6-8월)",정보없음,화요일(공휴일인 경우 다음날 휴무),서울특별시 종로구 사직로 161,37.5806736,126.976952,02-3700-3900,
88,artist,BTOB,청계천,playground,비투비 육성재가 우결에서 데이트를 한 장소,매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 서린동 148,37.569205,126.97791,02-2290-6114,
89,artist,BTOB,원조정할머니기름떡볶이,restaurant,구오즈의 떡볶이 투어 장소,매일 07시 - 20시 30분,정보없음,연중무휴,서울특별시 종로구 자하문로15길 18,37.580741,126.970021,02-735-7289,
90,artist,CIX,헤이미 마카롱,cafe,CIX 진영이 용희에게 줄 마카롱을 샀던 가게,"평일 11시 - 20시, 주말 11시 - 18시",정보없음,"월요일, 화요일",서울특별시 강남구 논현로172길 21,37.510366,127.034717,0507-1400-7243,
91,artist,CIX,안녕낯선사람,cafe,CIX 멤버가 자주 방문하는 카페,"일-목 08시 30분 - 23시, 금-토 12시 - 23시",정보없음,연중무휴,서울특별시 마포구 어울마당로5길 40,37.549776,126.918544,070-4115-5610,
92,artist,CIX,터틀힙,playground,CIX BX의 생일케이크를 주문했던 곳,매일 12시 - 20시,정보없음,연중무휴,서울특별시 마포구 연남로1길 44 1층 터틀힙,37.5597906,126.925767,02-332-5851,
93,artist,CIX,CGV 신촌아트레온,playground,CIX 승훈이 매니저와 갔던 영화관,상영시간별 상이,정보없음,정보없음,서울특별시 서대문구 신촌로 129,37.556489,126.940329,1544-1122,
94,movie,Inside Men,포스코센터,playground,우장훈의 기자회견 장면을 촬영한 장소,평일 09시 - 18시,정보없음,주말,서울특별시 강남구 테헤란로 440 ,37.505783,127.056068,02-3457-6114,
95,movie,Inside Men,마포공덕시장,playground,안상구가 옥상에서 라면을 먹은 곳,매일 00시 - 24시,정보없음,연중무휴,서울특별시 마포구 만리재로 19,37.545069,126.953344,02-712-4783,
96,movie,Your Wedding,솔밭근린공원,playground,너의 결혼식에서 김영광과 박보영이 헤어진 공원,매일 00시 - 24시,정보없음,연중무휴,서울특별시 강북구 삼양로 561 ,37.6529549,127.0096197,02-901-6939,
97,movie,Your Wedding,창덕궁,playground,너의 결혼식에서 김영광과 박보영이 데이트한 곳,화-일 09시 - 17시 30분,정보없음,월요일,서울특별시 종로구 율곡로 99,37.582757,126.991295,02-3668-2300,
98,artist,CIX,서울숲,playground,CIX가 화보 촬영을 했던 서울숲,매일 00시 - 24시,정보없음,연중무휴,서울특별시 성동구 뚝섬로 273,37.544046,127.040414,02-460-2905,
99,artist,CIX,단하나케이크 신천점,playground,CIX 진영의 생일케이크를 만들었던 곳,"평일 11시 - 20시, 주말 11시 - 18시",정보없음,격주 화요일,"서울특별시 송파구 백제고분로7길 33(잠실동, 3층)",37.510891,127.082606,02-2202-1117,
100,artist,CIX,롯데월드,playground,CIX 멤버가 자체 예능을 찍었던 놀이공원,매일 10시 - 21시,정보없음,연중무휴,서울특별시 송파구 올림픽로 240,37.5112601,127.097998,1661-2000,
101,artist,CLC,서울숲,playground,유진과 승연이 자전거 타며 꽃사슴을 본 곳,매일 00시 - 24시,정보없음,연중무휴,서울특별시 성동구 뚝섬로 273,37.544046,127.040414,02-460-2905,
102,artist,Day6,청양수산,restaurant,영케이의 단골 횟집,매일 09시 - 21시 ,정보없음,연중무휴,서울 동작구 노들로 674 노량진수산시장 1층 활어 40호,37.515263,126.94087,,
103,artist,Day6,잔비워,restaurant,DAY6는 뒤풀이 라이브 중 EP.3 나온 치킨집,매일 17시 30분 - (익일) 04시 30분,정보없음,연중무휴,서울특별시 강남구 도산대로89길 17,37.525873,127.051103,02-540-3392,
104,artist,Day6,영천영화 뜰,restaurant,Jae & 도운의 Our V Day에 나온 고깃집,매일 00시 - 24시,정보없음,연중무휴,서울특별시 강남구 도산대로90길 3 상민빌딩 5층,37.523959,127.04957,02-3442-0381,
105,artist,Day6,웅골 본점,restaurant,성진의 목요 미식회 V 라이브의 샤브샤브 집,"월-토 11시 - 22시, 일 09시 30분 - 22시",정보없음,연중무휴,서울특별시 강동구 강동대로 53길 18,37.5235,127.131948,02-486-8861,
106,artist,Day6,카페아셀,cafe,마이데이의 생일을 축하하며 V 라이브 했던 카페,"평일 10시 30분 - 21시, 주말 10시 30분 - 22시",정보없음,연중무휴,서울특별시 강동구 강동대로 53길 35,37.524466,127.131812,02-488-0788,
107,artist,Day6,램니쿠야 둔촌 본점,restaurant,영현&성진이 V 라이브를 했던 양고기 집,"평일 12시 - (익일) 01시, 주말 12시 - 24시",정보없음,연중무휴,서울특별시 강동구 양재대로 87길 23,37.525581,127.13374,0507-1341-0729,
108,artist,EXID,수서 가원,restaurant,전지적 참견 시점에서 하니가 먹으러 간 고깃집,매일 11시 - 22시,정보없음,연중무휴,서울특별시 강남구 광평로 234 1층,37.4855579,127.0983227,0507-1432-2355,
109,artist,EXID,삐아프,cafe,"수요미식회 149회에 정화, 혜린이 출연한 곳","월-토, 공휴일 12시 30분 - 19시 30분 ",정보없음,월요일,서울특별시 강남구 논현로175길 109 1층,37.521516,127.020741,02-545-0317,
110,artist,EXID,청담골,restaurant,수요미식회 35회 솔지가 출연한 백반집,매일 10시 30분 - 22시,정보없음,연중무휴,서울특별시 강남구 선릉로 148길 48,37.522737,127.043394,02-3443-1252,
111,artist,EXID,정가네 원조매운갈비찜,restaurant,솔지의 '추억의 음식'으로 알려진 곳,매일 00시 - 24시,정보없음,연중무휴,서울특별시 관악구 남부순환로 216길 8,37.481078,126.948895,02-883-0250,
112,artist,EXID,당고집,cafe,유튜버 에리나 채널에서 혜린이 방문한 당고집,화-일 12시 - 21시,정보없음,월요일,서울특별시 마포구 어울마당로3길 5 1층,37.5471836,126.9192967,070-7573-3164,
113,artist,EXID,당인식당,restaurant,수요미식회 35회 솔지가 출연한 백반집,"평일 11시 30분 - 23시 30분, 토 18시 - 23시 30분",14시 - 18시,일요일,서울특별시 마포구 와우산로 3길 50,37.545595,126.920179,0507-1407-0268,
114,artist,EXID,담택,restaurant,유튜버 에리나 채널에서 혜린이 방문한 일본라멘집,월-토 11시 30분 - 20시,15시 - 17시,일요일,서울특별시 마포구 월드컵로 8길 34,37.553191,126.914131,02-336-0974,
115,artist,EXID,자코비 버거,restaurant,혜린이 다이어트 해방되고 꼭 먹었다는 버거집,매일 11시 - (익일) 01시,정보없음,연중무휴,서울특별시 용산구 신흥로 38,37.541779,126.987391,02-3785-0433,
116,artist,EXID,일미식당,restaurant,수요미식회 35회 솔지가 출연한 백반집,월-토 11시 - 20시,정보없음,일요일,서울특별시 종로구 삼일대로 428 낙원상가 지하 B1 148호,37.5721971,126.987629,02-766-6588,
117,artist,god,와쏘,restaurant,god 손호영의 단골 맛집,월-토 17시 - (익일) 05시,정보없음,일요일,서울특별시 강남구 논현로150길 34,37.519694,127.031195,02-540-6207,
118,artist,god,엑스케이프 건대점,playground,와썹맨 박준형이 다녀간 카페,"평일 12시 - 23시, 주말 10시 - 24시",정보없음,연중무휴,서울특별시 광진구 동일로 112,37.542517,127.064343,02-463-9366,
119,artist,god,홍대 벽화거리,playground,와썹맨 박준형이 걸은 홍대 거리,매일 00시 - 24시,정보없음,연중무휴,서울특별시 마포구 독막로19길 42,37.551603,126.924142,02-3153-8353,
120,artist,god,숲속한방랜드,playground,와썹맨 박준형이 다녀간 찜질방,매일 06시 30분 - 22시,정보없음,연중무휴,서울특별시 서대문구 봉원사길 75-7,37.570239,126.945575,02-365-2700,
121,artist,god,롯데월드,playground,와썹맨 박준형이 다녀간 놀이공원,매일 10시 - 21시,정보없음,연중무휴,서울특별시 송파구 올림픽로 240,37.5112601,127.097998,1661-2000,
